#{"t_start": 1696907060.4400942, "env_id": "ALE/Breakout-v5"}
r,l,t
1.0,16,3.711987
0.0,5,3.75299
0.0,5,3.813338
0.0,5,3.874414
0.0,3,3.911714
0.0,5,3.982712
0.0,5,4.046713
2.0,23,4.24274
0.0,5,4.302815
1.0,15,4.448993
0.0,5,4.526994
0.0,5,4.579978
0.0,5,4.649416
0.0,5,4.717487
0.0,5,4.7759
0.0,5,4.870022
0.0,5,4.940118
1.0,14,8.12964
0.0,5,8.183034
0.0,3,8.218958
0.0,5,8.308722
0.0,5,8.360736
0.0,5,8.419651
0.0,5,8.461651
0.0,5,8.498653
0.0,5,8.578619
0.0,5,8.659515
0.0,5,8.725843
0.0,5,8.798984
0.0,5,8.855276
0.0,5,8.916479
0.0,5,8.968547
1.0,14,9.119054
0.0,5,9.182337
0.0,5,9.257063
0.0,5,9.325496
2.0,21,9.58363
0.0,5,12.431105
1.0,12,12.562837
0.0,5,12.618348
0.0,5,12.693349
0.0,5,12.765122
2.0,21,12.989114
0.0,3,13.028553
0.0,3,13.077189
0.0,5,13.150704
0.0,5,13.223322
1.0,14,13.363325
0.0,3,13.401525
0.0,5,13.458528
0.0,5,13.557684
0.0,5,13.642005
1.0,14,13.810908
0.0,5,13.852645
0.0,5,13.901072
3.0,35,16.719152
1.0,16,16.913902
0.0,5,16.964251
0.0,3,16.994251
0.0,5,17.061873
0.0,5,17.157027
3.0,34,17.494012
0.0,5,17.546808
1.0,15,17.725478
1.0,15,20.664752
0.0,5,20.737016
2.0,21,20.980057
0.0,5,21.038935
0.0,3,21.078044
0.0,5,21.136774
0.0,5,21.22504
0.0,5,21.266923
0.0,5,21.316028
2.0,23,21.569536
0.0,5,21.630599
0.0,5,21.724041
1.0,14,21.904608
0.0,3,21.943751
0.0,3,21.974751
0.0,5,22.016273
0.0,5,22.103075
0.0,5,22.167574
0.0,3,24.728201
0.0,5,24.779202
1.0,14,24.955008
0.0,5,25.052997
1.0,14,25.186092
1.0,12,25.289322
0.0,5,25.339592
0.0,5,25.395596
0.0,5,25.471672
0.0,5,25.523082
0.0,5,25.573979
0.0,5,25.624052
0.0,5,25.663083
0.0,5,25.725154
0.0,5,25.784044
1.0,14,25.911556
0.0,5,25.982173
0.0,5,26.041548
0.0,5,26.120982
0.0,5,29.14608
0.0,5,29.198076
0.0,5,29.25851
0.0,5,29.339783
0.0,5,29.403852
0.0,5,29.456275
0.0,5,29.508035
3.0,34,29.881142
0.0,5,29.947791
0.0,5,30.042552
0.0,5,30.110435
0.0,3,30.173185
0.0,5,30.236611
0.0,3,30.26536
0.0,5,30.321361
0.0,5,30.370444
0.0,5,30.422979
0.0,5,30.475979
1.0,12,30.620415
0.0,5,33.282458
0.0,5,33.330393
1.0,14,33.447038
0.0,5,33.49771
0.0,5,33.537712
0.0,5,33.591711
0.0,5,33.640712
0.0,5,33.719347
0.0,5,33.779904
0.0,3,33.837974
0.0,5,33.893976
0.0,5,33.945316
0.0,5,33.987037
0.0,1,34.423072
0.0,5,34.469507
0.0,5,34.536256
2.0,23,34.762873
0.0,5,34.816875
0.0,5,34.87564
0.0,5,34.93043
2.0,23,35.151025
1.0,17,35.343824
0.0,5,35.393428
0.0,5,35.441896
0.0,5,35.496565
0.0,5,35.580012
2.0,23,35.772994
0.0,5,35.831875
0.0,5,35.890214
0.0,5,35.947722
2.0,23,36.150727
0.0,5,36.195291
1.0,17,36.341215
0.0,5,36.383216
0.0,5,36.421289
2.0,23,36.65279
0.0,5,36.704058
0.0,5,36.75985
0.0,5,36.801884
0.0,5,36.840947
0.0,5,36.906127
2.0,23,37.11713
0.0,5,37.156203
0.0,5,37.206273
0.0,5,37.255018
0.0,5,37.317438
0.0,5,37.39451
0.0,5,37.444747
0.0,5,37.495748
0.0,5,37.545288
0.0,5,37.61574
0.0,5,37.684418
0.0,5,37.736606
0.0,5,37.788607
0.0,5,37.838542
0.0,5,37.903865
0.0,5,37.94816
0.0,5,37.989161
0.0,5,38.030242
0.0,5,38.068994
2.0,23,38.314169
0.0,5,38.365237
0.0,5,38.433239
0.0,5,38.500628
0.0,5,38.548696
0.0,5,38.614676
0.0,5,38.657979
0.0,5,38.707837
0.0,5,38.750833
0.0,5,38.798907
0.0,5,38.87852
0.0,5,38.930069
0.0,5,38.980925
0.0,5,39.055136
0.0,5,39.117906
0.0,5,39.178975
0.0,5,39.231734
0.0,5,39.284128
2.0,23,39.483307
0.0,5,39.551323
2.0,23,39.758438
0.0,5,39.808466
1.0,17,39.980092
0.0,5,40.040541
0.0,5,40.100247
0.0,5,40.17461
0.0,5,40.24847
0.0,5,40.32054
0.0,5,40.380542
2.0,23,40.651174
0.0,5,40.725176
0.0,5,40.777817
0.0,5,40.82882
0.0,5,40.907214
0.0,5,40.962217
0.0,5,41.033905
0.0,5,41.113346
2.0,23,41.290902
0.0,5,41.360904
0.0,5,41.417148
2.0,23,41.667485
0.0,5,41.70995
0.0,5,41.751951
0.0,5,41.802989
0.0,5,41.86106
0.0,5,41.928935
0.0,5,42.005557
2.0,23,42.229059
0.0,5,42.28006
0.0,5,42.329074
0.0,5,42.414074
0.0,5,42.475481
0.0,5,42.538174
0.0,5,42.61725
0.0,5,42.673621
0.0,5,42.758622
0.0,5,42.809623
0.0,5,42.860366
0.0,5,42.912665
0.0,5,42.961604
0.0,5,43.028311
2.0,23,43.244407
1.0,17,43.445638
0.0,5,43.495999
0.0,5,43.546818
0.0,5,43.608865
0.0,5,43.669938
0.0,5,43.760566
0.0,5,43.809797
0.0,5,43.860259
0.0,5,43.929257
0.0,5,43.972258
0.0,5,44.023258
0.0,5,44.074331
0.0,5,44.132507
2.0,23,44.37052
0.0,5,44.421316
0.0,5,44.471688
1.0,17,44.621334
1.0,17,44.779118
2.0,23,44.98245
1.0,17,45.179115
0.0,5,45.241136
0.0,5,45.293945
0.0,5,45.344014
0.0,5,45.397387
0.0,5,45.438387
0.0,5,45.480388
0.0,5,45.53111
0.0,5,45.608649
2.0,23,45.84581
0.0,5,45.898105
0.0,5,45.951206
0.0,5,46.003207
0.0,5,46.072199
0.0,5,46.15416
2.0,23,46.381793
1.0,17,46.547996
0.0,5,46.598996
0.0,5,46.648135
2.0,23,46.86843
0.0,5,46.918383
1.0,17,47.128407
0.0,5,47.179987
0.0,5,47.247054
2.0,23,47.464955
1.0,17,47.624647
0.0,5,47.696609
0.0,5,47.754611
0.0,5,47.804729
0.0,5,47.869502
0.0,5,47.927576
0.0,5,47.981045
0.0,5,48.033887
0.0,5,48.082982
0.0,5,48.154093
0.0,5,48.225094
2.0,23,48.446262
0.0,5,48.505539
0.0,5,48.545541
2.0,23,48.760381
0.0,5,48.802505
0.0,5,48.843578
0.0,5,48.913984
0.0,5,48.97035
0.0,5,49.035763
0.0,5,49.088584
0.0,5,49.140101
0.0,5,49.193102
0.0,5,49.249681
0.0,5,49.323194
0.0,5,49.391125
0.0,5,49.442551
0.0,5,49.494552
2.0,23,49.687032
2.0,23,49.926301
0.0,5,49.984301
0.0,5,50.026755
0.0,5,50.068827
0.0,5,50.114901
2.0,23,50.336778
0.0,5,50.399779
1.0,17,50.592801
1.0,17,50.805947
0.0,5,50.855606
0.0,5,50.928071
2.0,23,51.175859
0.0,5,51.227214
0.0,5,51.279622
0.0,5,51.356628
0.0,5,51.427629
0.0,5,51.500629
0.0,5,51.54363
0.0,5,51.585705
0.0,5,51.625705
0.0,5,51.699706
0.0,5,51.751033
0.0,5,51.803767
0.0,5,51.86784
0.0,5,51.936324
2.0,23,52.168826
0.0,5,52.229354
0.0,5,52.283354
0.0,5,52.327356
0.0,5,52.367355
2.0,23,52.641197
0.0,5,52.683198
1.0,17,52.831496
0.0,5,52.892465
0.0,5,52.957821
0.0,5,53.028821
0.0,5,53.072822
0.0,5,53.114823
2.0,23,53.31422
1.0,17,53.488423
0.0,5,53.563403
0.0,5,53.605849
0.0,5,53.647849
0.0,5,53.688956
0.0,5,53.726957
0.0,5,53.795032
0.0,5,53.859033
0.0,5,53.911699
0.0,5,53.962699
0.0,5,54.030116
0.0,5,54.089625
0.0,5,54.141898
2.0,23,54.373825
0.0,5,54.414826
0.0,5,54.453904
0.0,5,54.530912
2.0,23,54.7783
1.0,17,54.941164
0.0,5,55.023155
0.0,5,55.080158
0.0,5,55.150771
0.0,5,55.202546
0.0,5,55.254619
0.0,5,55.32462
0.0,5,55.382705
2.0,23,55.641284
0.0,5,55.702284
0.0,5,55.76373
0.0,5,55.825031
0.0,5,55.899079
0.0,5,55.968004
0.0,5,56.013004
0.0,5,56.056569
0.0,5,56.098644
0.0,5,56.137178
2.0,23,56.396184
0.0,5,56.457186
0.0,5,56.524183
0.0,5,56.581394
0.0,5,56.640589
0.0,5,56.728067
0.0,5,56.780672
0.0,5,56.833748
0.0,5,56.89475
0.0,5,56.953319
0.0,5,57.047028
0.0,5,57.107985
0.0,5,57.170182
2.0,23,57.407603
0.0,5,57.446604
2.0,23,57.701688
0.0,5,57.760755
0.0,5,57.821353
0.0,5,57.890353
0.0,5,57.9488
0.0,5,58.040586
2.0,23,58.259427
0.0,5,58.302896
0.0,5,58.344307
0.0,5,58.384377
0.0,5,58.458455
0.0,5,58.519061
0.0,5,58.580062
0.0,5,58.662549
0.0,5,58.701994
0.0,5,58.759123
0.0,5,58.801073
0.0,5,58.851073
0.0,5,58.893075
0.0,5,58.933076
0.0,5,58.984155
0.0,5,59.03523
0.0,5,59.087239
0.0,5,59.139386
0.0,5,59.217756
0.0,5,59.287196
0.0,5,59.365965
0.0,5,59.424415
0.0,5,59.476362
0.0,5,59.527056
0.0,5,59.59036
0.0,5,59.633842
2.0,23,59.883109
0.0,5,59.944378
0.0,5,60.020113
2.0,23,60.304499
0.0,5,60.348467
0.0,5,60.390489
0.0,5,60.43249
0.0,5,60.471561
0.0,5,60.550582
0.0,5,60.594656
2.0,23,60.811013
0.0,5,60.872893
1.0,17,61.018061
0.0,5,61.0925
0.0,5,61.145893
0.0,5,61.196859
2.0,23,61.476689
0.0,5,61.526763
0.0,5,61.607764
2.0,23,61.813585
1.0,17,61.963232
1.0,17,62.109699
0.0,5,62.148781
0.0,5,62.220702
0.0,5,62.272273
0.0,5,62.343274
0.0,5,62.39635
0.0,5,62.461576
0.0,5,62.524498
0.0,5,62.567499
0.0,5,62.6255
0.0,5,62.667662
0.0,5,62.716682
0.0,5,62.785758
0.0,5,62.834759
0.0,5,62.891235
0.0,5,62.933236
2.0,23,63.149179
0.0,5,63.200179
0.0,5,63.25218
2.0,23,63.512103
0.0,5,63.555594
1.0,17,63.726854
2.0,23,63.93854
0.0,5,64.006542
0.0,5,64.058732
0.0,5,64.112203
0.0,5,64.167332
0.0,5,64.23753
0.0,5,64.298972
0.0,5,64.35207
0.0,5,64.405328
0.0,5,64.472332
0.0,5,64.54124
0.0,5,64.584314
0.0,5,64.62652
0.0,5,64.669521
0.0,5,64.713379
0.0,5,64.786457
0.0,5,64.840698
2.0,23,65.076844
0.0,5,65.128628
0.0,5,65.177629
0.0,5,65.24263
0.0,5,65.31555
0.0,5,65.376329
0.0,5,65.437948
0.0,5,65.49895
0.0,5,65.574949
2.0,23,65.779924
1.0,17,65.958118
1.0,17,66.152562
0.0,5,66.20133
2.0,23,66.439469
0.0,5,66.49047
1.0,17,66.65482
0.0,5,66.724956
0.0,5,66.784932
0.0,5,66.859373
0.0,5,66.903816
2.0,23,67.100544
1.0,17,67.265267
1.0,17,67.422867
0.0,5,67.510764
2.0,23,67.73674
0.0,5,67.777997
0.0,5,67.843646
0.0,5,67.885648
0.0,5,67.962649
0.0,5,68.005112
0.0,5,68.056113
0.0,5,68.107114
0.0,5,68.156758
0.0,5,68.216825
0.0,5,68.261117
2.0,23,68.487599
0.0,5,68.539301
0.0,5,68.588808
2.0,23,68.838433
0.0,5,68.889946
0.0,5,68.960401
0.0,5,69.012558
0.0,5,69.078659
0.0,5,69.13966
0.0,5,69.20032
0.0,5,69.253393
0.0,5,69.305726
0.0,5,69.355448
2.0,23,69.622996
0.0,5,69.666997
0.0,5,69.731998
1.0,17,69.87955
0.0,5,69.927716
0.0,5,70.010788
0.0,5,70.059621
0.0,5,70.102695
0.0,5,70.143695
0.0,5,70.191086
0.0,5,70.278154
0.0,5,70.32716
0.0,5,70.379451
0.0,5,70.431159
0.0,5,70.500164
2.0,23,70.727882
1.0,17,70.877906
0.0,5,70.929898
0.0,5,70.992735
0.0,5,71.034441
0.0,5,71.099139
2.0,23,71.30168
0.0,5,71.354175
0.0,5,71.415177
0.0,5,71.474623
0.0,5,71.56068
0.0,5,71.627317
0.0,5,71.67831
0.0,5,71.73131
0.0,5,71.780181
0.0,5,71.841179
0.0,5,71.886126
0.0,5,71.928125
2.0,23,72.136095
0.0,5,72.186369
0.0,5,72.251987
0.0,5,72.31563
0.0,5,72.382069
0.0,5,72.432381
0.0,5,72.4823
0.0,5,72.551823
2.0,23,72.790211
1.0,17,72.965773
1.0,17,73.115749
0.0,5,73.178822
0.0,5,73.246264
0.0,5,73.299603
0.0,5,73.342603
0.0,5,73.401674
0.0,5,73.441675
0.0,5,73.503826
2.0,23,73.723646
0.0,5,73.77517
0.0,5,73.827309
0.0,5,73.88799
0.0,5,73.959566
2.0,23,74.215511
0.0,5,74.267323
1.0,17,74.434062
1.0,17,74.560523
2.0,23,74.808978
0.0,5,74.852506
0.0,5,74.916578
0.0,5,74.958727
0.0,5,74.998729
2.0,23,75.27377
0.0,5,75.323496
1.0,17,75.473063
0.0,5,75.515424
0.0,5,75.586495
0.0,5,75.647497
0.0,5,75.69924
0.0,5,75.742562
2.0,23,75.963665
0.0,5,76.027745
0.0,5,76.095746
0.0,5,76.147229
0.0,5,76.199883
0.0,5,76.252523
0.0,5,76.318053
0.0,5,76.387495
0.0,5,76.439357
0.0,5,76.492427
0.0,5,76.545428
0.0,5,76.613872
0.0,5,76.688391
0.0,5,76.74147
0.0,5,76.79447
0.0,5,76.845471
2.0,23,77.04209
0.0,5,77.110128
2.0,23,77.294477
0.0,5,77.342717
0.0,5,77.38475
0.0,5,77.445752
2.0,23,77.680528
0.0,5,77.730528
0.0,5,77.772019
0.0,5,77.813455
0.0,5,77.866412
0.0,5,77.939133
0.0,5,78.011207
2.0,23,78.244931
0.0,5,78.295718
0.0,5,78.352656
0.0,5,78.436336
0.0,5,78.503287
0.0,5,78.554334
0.0,5,78.605407
0.0,5,78.646407
0.0,5,78.705408
0.0,5,78.746408
0.0,5,78.790409
2.0,23,79.005759
0.0,5,79.052762
0.0,5,79.141208
0.0,5,79.217305
2.0,23,79.441494
0.0,5,79.501095
0.0,5,79.559839
0.0,5,79.638274
2.0,23,79.856091
0.0,5,79.90709
0.0,5,79.966332
1.0,17,80.163152
0.0,5,80.227154
0.0,5,80.279155
0.0,5,80.330768
2.0,23,80.526616
1.0,17,80.734953
0.0,5,80.799006
0.0,5,80.869007
0.0,5,80.918813
0.0,5,80.971209
0.0,5,81.021329
0.0,5,81.101597
0.0,5,81.179466
2.0,23,81.357092
0.0,5,81.408386
0.0,5,81.448001
0.0,5,81.50107
2.0,23,81.778771
0.0,5,81.830894
0.0,5,81.881967
0.0,5,81.950967
0.0,5,82.010671
0.0,5,82.070522
0.0,5,82.131012
0.0,5,82.18208
0.0,5,82.221081
0.0,5,82.294817
2.0,23,82.509892
1.0,17,82.665807
1.0,17,82.827086
0.0,5,82.875153
0.0,5,82.957154
0.0,5,83.009155
0.0,5,83.060847
2.0,23,83.238091
0.0,5,83.285672
0.0,5,83.359263
2.0,23,83.589767
0.0,5,83.636842
0.0,5,83.678843
0.0,5,83.717704
0.0,5,83.770624
0.0,5,83.811696
0.0,5,83.852697
0.0,5,83.907698
0.0,5,83.956699
2.0,23,84.189268
0.0,5,84.23038
1.0,17,84.399818
0.0,5,84.460819
1.0,17,84.616915
0.0,5,84.713234
0.0,5,84.77275
0.0,5,84.833802
0.0,5,84.895027
0.0,5,84.954031
0.0,5,85.063104
0.0,5,85.121387
0.0,5,85.174387
0.0,5,85.22582
2.0,23,85.447526
2.0,23,85.672731
0.0,5,85.724498
0.0,5,85.796499
0.0,5,85.848025
0.0,5,85.903098
0.0,5,85.964099
0.0,5,86.006064
0.0,5,86.069065
0.0,5,86.111135
2.0,23,86.33429
0.0,5,86.400477
0.0,5,86.450927
0.0,5,86.516932
0.0,5,86.558928
0.0,5,86.59893
0.0,5,86.66493
0.0,5,86.707931
0.0,5,86.755429
0.0,5,86.798437
0.0,5,86.84511
2.0,23,87.06103
0.0,5,87.102031
0.0,5,87.161031
0.0,5,87.204168
1.0,17,87.324211
0.0,5,87.397859
0.0,5,87.449859
0.0,5,87.501402
0.0,5,87.573288
0.0,5,87.622891
0.0,5,87.69789
0.0,5,87.748891
0.0,5,87.801606
0.0,5,87.872608
0.0,5,87.921061
0.0,5,87.994133
0.0,5,88.04413
0.0,5,88.086131
2.0,23,88.295133
0.0,5,88.345672
0.0,5,88.415193
0.0,5,88.468035
0.0,5,88.520475
0.0,5,88.596167
0.0,5,88.644259
2.0,23,88.885273
0.0,5,88.935273
0.0,5,88.987874
1.0,17,89.18189
0.0,5,89.223221
0.0,5,89.273289
0.0,5,89.337145
0.0,5,89.387626
0.0,5,89.439358
2.0,23,89.658706
0.0,5,89.735006
0.0,5,89.790923
0.0,5,89.842992
0.0,5,89.89479
0.0,5,89.934793
0.0,5,89.994804
0.0,5,90.035805
0.0,5,90.077805
0.0,5,90.127454
2.0,23,90.345818
0.0,5,90.41282
2.0,23,90.630926
0.0,5,90.690387
0.0,5,90.743017
1.0,17,90.924212
0.0,5,90.992524
2.0,23,91.211797
0.0,5,91.262797
0.0,5,91.323128
0.0,5,91.373392
0.0,5,91.43383
0.0,5,91.477378
0.0,5,91.52045
0.0,5,91.569521
0.0,5,91.616522
2.0,23,91.856032
1.0,17,92.035139
0.0,5,92.096583
1.0,17,92.277589
0.0,5,92.317591
0.0,5,92.383972
2.0,23,92.636592
1.0,17,92.766383
0.0,5,92.826216
0.0,5,92.908643
2.0,23,93.120057
0.0,5,93.161058
1.0,17,93.365376
0.0,5,93.417839
1.0,17,93.554955
0.0,5,93.618229
0.0,5,93.670302
0.0,5,93.722049
0.0,5,93.796446
0.0,5,93.854554
0.0,5,93.924898
0.0,5,93.97785
0.0,5,94.030881
0.0,5,94.072959
2.0,23,94.30546
2.0,23,94.499535
0.0,5,94.559761
1.0,17,94.74898
0.0,5,94.815422
0.0,5,94.863935
2.0,23,95.102779
0.0,5,95.152938
0.0,5,95.205272
0.0,5,95.257483
0.0,5,95.306449
0.0,5,95.365447
0.0,5,95.409127
0.0,5,95.459202
0.0,5,95.524419
0.0,5,95.587859
0.0,5,95.653861
0.0,5,95.706041
0.0,5,95.758117
2.0,23,96.013957
0.0,5,96.072121
2.0,23,96.293571
0.0,5,96.343572
0.0,5,96.403865
0.0,5,96.456865
0.0,5,96.505847
0.0,5,96.593846
0.0,5,96.644927
0.0,5,96.696705
0.0,5,96.748666
0.0,5,96.798194
2.0,23,97.035636
0.0,5,97.086501
0.0,5,97.147859
0.0,5,97.222517
0.0,5,97.272519
0.0,5,97.347442
0.0,5,97.400031
0.0,5,97.453031
0.0,5,97.532369
0.0,5,97.597372
0.0,5,97.659981
0.0,5,97.701512
0.0,5,97.751352
0.0,5,97.802639
0.0,5,97.851827
0.0,5,97.925825
0.0,5,97.989827
0.0,5,98.032901
0.0,5,98.073633
0.0,5,98.122707
0.0,5,98.205722
0.0,5,98.257602
0.0,5,98.307189
0.0,5,98.35744
0.0,5,98.407032
0.0,5,98.476661
2.0,23,98.71439
0.0,5,98.783834
0.0,5,98.833833
0.0,5,98.883685
0.0,5,98.956848
0.0,5,99.008757
0.0,5,99.052606
0.0,5,99.10226
0.0,5,99.152347
